"Ítem";"Descripción";"Grupo";"Precio Venta"
"702";"CAÑONCITOS DE QUESO X 500Gr (10u).AMANECER";"AMANECER";"$ 3.081,79"
"275";"CONITOS DE QUESO X 120Gr(16u).AMANECER";"AMANECER";"$ 1.772,47"
"135";"CONITOS DE QUESO X 800Gr(5u).AMANECER";"AMANECER";"$ 9.216,92"
"936";"COPETIN COMPLETO X 300g (25u).AMANECER";"AMANECER";"$ 1.528,31"
"1275";"MANI CON CASCARA X 800g.AMANECER";"AMANECER";"$ 4.031,57"
"289";"PAPA PAY X 1Kg (5u) AMANECER";"AMANECER";"$ 9.487,11"
"66";"PAPA PAY X 500g(10u)AMANECER";"AMANECER";"$ 5.206,20"
"261";"PIZZITAS DE MAIZ X 500Gr (10u).AMANECER";"AMANECER";"$ 3.130,64"
"1157";"#BUDIN CON ARANDANOS X 200Gr (12u).CERAL";"CERAL";"$ 4.078,04"
"1125";"#BUDIN CON FRUTAS X 200Gr (12u).CERAL";"CERAL";"$ 2.625,69"
"604";"#BUDIN MARMOLADO X 200Gr (12u).CERAL";"CERAL";"$ 2.500,65"
"1124";"#BUDIN SIN FRUTAS X 200Gr (12u).CERAL";"CERAL";"$ 2.625,69"
"1127";"#PAN DULCE CON FRUTAS X 400Gr (8u).CERAL";"CERAL";"$ 4.431,83"
"1126";"#PAN DULCE SIN FRUTAS X 400Gr (8u).CERAL";"CERAL";"$ 4.089,33"
"1141";"ALFAJOR BLANCO LIGHT X 45g(16u)CERAL";"CERAL";"$ 755,35"
"1140";"ALFAJOR NEGRO LIGHT X 45g(16u)CERAL";"CERAL";"$ 755,35"
"761";"DISCO DE ARROZ C/SAL X 100g(24u)CERAL";"CERAL";"$ 1.248,15"
"208";"DISCO DE ARROZ DULCE X 100g(24u)CERAL";"CERAL";"$ 1.248,15"
"708";"DISCO DE ARROZ S/SAL X 100g(24u)CERAL";"CERAL";"$ 1.248,15"
"707";"FIDEO INTEGRAL ESPIN. X 300g(12u)CERAL";"CERAL";"$ 1.979,64"
"757";"FIDEO INTEGRAL MORRON X 300g(12u)CERAL";"CERAL";"$ 1.979,64"
"710";"FIDEO INTEGRAL NATURAL X 300g(12u)CERAL";"CERAL";"$ 1.979,64"
"1131";"FIDEOS DIET ESPINACA X 300g(12u)CERAL";"CERAL";"$ 1.799,25"
"1132";"FIDEOS DIET MORRON X 300g(12u)CERAL";"CERAL";"$ 1.799,25"
"1130";"FIDEOS DIET NATURAL X 300g(12u)CERAL";"CERAL";"$ 1.799,25"
"930";"GALL. INTEG. AVENA Y PASAS X 180g(18u)CERAL";"CERAL";"$ 1.548,82"
"1006";"GALL. INTEG. SEMILL Y AVENA  X 180g(18u)CERAL";"CERAL";"$ 1.548,61"
"1110";"GALL. INTEGRAL COCO X 180g(18u)CERAL";"CERAL";"$ 1.408,21"
"1003";"GALL. INTEGRAL LIMON X 180g(18u)CERAL";"CERAL";"$ 1.408,03"
"1148";"GALL. INTEGRAL NARANJA  X 180g(18u)CERAL";"CERAL";"$ 1.408,03"
"1120";"GALLET. DIET ALGARROBA  X 190g(18u)CERAL";"CERAL";"$ 1.408,21"
"1117";"GALLET. DIET COCO X 190g(18u)CERAL";"CERAL";"$ 1.408,02"
"1115";"GALLET. DIET LIMON X 190g(18u)CERAL";"CERAL";"$ 1.408,21"
"1116";"GALLET. DIET NARANJA X 190g(18u)CERAL";"CERAL";"$ 1.408,02"
"1119";"GALLET. DIET TEISTY  X 190g(18u)CERAL";"CERAL";"$ 1.408,21"
"1118";"GALLET. DIET VAINILLA X190g(18u)CERAL";"CERAL";"$ 1.408,21"
"1152";"GRISIN DIET MESA X 180g(12u)CERAL";"CERAL";"$ 1.309,93"
"1153";"GRISIN DIET SIN SAL X 180g(12u)CERAL";"CERAL";"$ 1.309,93"
"1243";"JUGO DE ARANDANO X 1,500cc(6u)CERAL";"CERAL";"$ 2.955,42"
"1151";"MARINERA GLUTEN C/SAL X 180g(10u)CERAL";"CERAL";"$ 1.332,39"
"1150";"MARINERA GLUTEN S/SAL X 180g(10u)CERAL";"CERAL";"$ 1.332,39"
"1149";"MERMEL. DIET ARANDANO X 410g(6u)CERAL";"CERAL";"$ 4.296,22"
"878";"MERMEL. DIET CIRUELA X 410g(6u).CERAL";"CERAL";"$ 3.926,98"
"1162";"MERMEL. DIET DURAZNO X 410g(6u)CERAL";"CERAL";"$ 3.926,98"
"1107";"MERMEL. DIET FRUT.BOSQ X 410g(6u)CERAL";"CERAL";"$ 4.296,22"
"1160";"MERMEL. DIET FRUTILLA X 410g(6u)CERAL";"CERAL";"$ 4.228,84"
